jahr,reise,stadt,land,zoo_name,start_lat,start_lon,fin_lat,fin_lon,comment,link_photo,link_logo,text,link_report
2019,,Tallin,Estland,Zoo Tallin,51.34838942,12.37031027,59.41979113,24.65983313,,,,,
2019,,Helsinki,Finnland,Zoo Helsinki,59.41979113,24.65983313,60.17504281,24.98319746,,,,,
2019,,Magdeburg,Deutschland,Zoo Magdeburg,51.34838942,12.37031027,52.12381531,11.61745362,,,,,
2019,Fra-Kro,Frankfurt am Main,Deutschland,Zoo Frankfurt,51.34838942,12.37031027,50.11649829,8.699356616,,,,,
2019,Fra-Kro,Kronberg im Taunus,Deutschland,Opel-Zoo,50.11649829,8.699356616,50.18377686,8.484418033,,,,,
2019,Große Vietnam Reise,Hanoi,Vietnam,Zoo Hanoi,51.34838942,12.37031027,21.03045908,105.8055312,,,,,
2019,Große Vietnam Reise,Tam Dao National Park,Vietnam,Vietnam Bear Rescue Center im Tam Dao National Park (Bärenauffangstation),21.03045908,105.8055312,21.42799068,105.6267718,,,,,
2019,Große Vietnam Reise,Cuc Phuong National Park,Vietnam,"Vietnam Endangered Primate Rescue Center, Turtle Conservation Center, Affen-Beobachtung",21.42799068,105.6267718,20.24694585,105.7152486,,,,,
2020,Oesterreich Reise 2020,Salzburg,Oesterreich,Zoo Salzburg,51.34838942,12.37031027,47.7573823,13.06512705,,,,,
2020,Oesterreich Reise 2020,Innsbruck,Oesterreich,Zoo Innsbruck,47.7573823,13.06512705,47.28114508,11.3982332,,,,,
2020,,Cottbus,Deutschland,Zoo Cottbus,51.34838942,12.37031027,51.75869913,14.33002436,,,,,
2021,,Hannover,Deutschland,Zoo Hannover,51.34838942,12.37031027,52.38152394,9.770500453,,,,,
2021,,Neunkirchen,Deutschland,Zoo Neunkirchen ,51.34838942,12.37031027,49.34523885,7.205565984,,,,,
2021,,Saarbruecken,Deutschland,Zoo Saarbrücken,49.34523885,7.205565984,49.22918322,7.040022849,,,,,
2022,,Erfurt,Deutschland,Zoo Erfurt,51.34838942,12.37031027,50.9852767,11.02243273,,,,,
2022,,Liberec,Tschechien,Zoo Liberec,51.34838942,12.37031027,50.76824618,15.05508106,,,,,
2022,,Krakau,Polen,Zoo Krakau,51.34838942,12.37031027,50.03080008,19.96398722,,,,,
2022,,Warschau,Polen,Zoo Warschau,50.03080008,19.96398722,52.21525925,21.02457184,,,,,
2022,,Posen,Polen,Zoo Posen,52.21525925,21.02457184,52.40019823,16.99383329,,,,,
